name,latitude,longitude,cctvUrl,city,district,town
전라남도 순천시,35.067007,127.270652,http://cctvsec.ktict.co.kr/2332/RlkcUkGaAFa6uoc7DMIraKtTh5qjRX27occP3Ys4CL+AUZqTfBR1RT725IkWFRg15Y1VvqBSZTcMsGSpNwuBB4XguNFwDiThwLBf/Tsn4SY=,전라남도,순천시,주암면
전라남도 순천시,35.014619,127.374812,http://cctvsec.ktict.co.kr/2333/W0V4+f8ucgcBE49iFOIug7mXV5C1wh6w9B/k/MxGW8KZz57qP0tZh+HwrHqDegeWhA622/nxUrdD728d2UeVB+iJsVfW42gtlw0D8tdiPms=,전라남도,순천시,승주읍
전라남도 순천시,35.010710,127.440746,http://cctvsec.ktict.co.kr/2334/yWUgPk1dKdRbgUBOsFIDKvGTgfRctk44pqVvOcHypmNKkWMpKrN0338q4W9/ZKQeX0ow+x7bK6vYjZb4d5gkwZfFfgKLwkwU4izB6FO7QTk=,전라남도,순천시,서면
전북특별자치도 남원시,35.381240,127.222460,http://cctvsec.ktict.co.kr/2400/ZAVhoAcJXVukoeysf0mfK8JpoYcOpo5oeqozSmzjIKM1cQv7+3KtzuvBqE5jnuRyMauJCBak+vvYNMx42j1m5y78ape+mmCRLyvdSQMWxSU=,전북특별자치도,남원시,대강면
전북특별자치도 남원시,35.480100,127.563550,http://cctvsec.ktict.co.kr/2401/itrUHsnKKHfHiHnW31Zy53dAI3I/BotLuzevIwvxE0mUwU5NGgW5v7GxNk7yb3Wmz8xHzs2c3gL8NclyOKGgatVHyjsQQiPfzQSNDszxO2g=,전북특별자치도,남원시,아영면
경상남도 하동군,35.026993,127.865987,http://cctvsec.ktict.co.kr/2489/LIGqDj6y6tfA17tl+JaKCARXE+28WdvwU701rgZbY6SfyEsrR3c0gchxweJXnBwCWlikOGlbs5W+Fz3Zs6PnyQO03zi4Zw1O08dyZZ+aWv4=,경상남도,하동군,진교면
경상남도 하동군,35.040274,127.890229,http://cctvsec.ktict.co.kr/2492/AjyIi6UPxYxbaTIEZNIJLSPWXnpqFd6xWNmVWpcVNJorepY4QLQr3YXCiQ1lNXLHxFCEKK3ALLS0A3eJdBngdMIuBcb5XSwYWqqXWE+Qi1Y=,경상남도,하동군,진교면
경상남도 사천시,35.065631,127.989943,http://cctvsec.ktict.co.kr/2504/hHkK8+Zr2DoaFq29yWLNTb5yWJ5wyhSZxcXbw9BKIJWqtJ3MLBQ6q2I8100fmv/GA7qCEuGpcdn0BcisA2JBmtY/kB6Ho40iurtrdRmMne8=,경상남도,사천시,곤양면
경상남도 하동군,35.005276,127.837070,http://cctvsec.ktict.co.kr/2506/31zecsUL94AvnIKZIWLua3YAq3Wa96g84epXyg+jXOU79/A+DfH/6gC4FDWO9YNKFK3zVaxbuHZmudWrkvyekWK3Fto2RrsmJ9QRF7bHC0g=,경상남도,하동군,금남면
경상남도 사천시,35.054778,127.936918,http://cctvsec.ktict.co.kr/2512/a2Y3aICMgLy9siNfFBj/d+rEruKqfcvhfODqjDPkpYaiCNmMsCfPHVmqEdLY+Pw0JSFUienX00QnNCeZdViuzCWvaS0JiagNE4OhSWCD1cU=,경상남도,사천시,곤양면
경상남도 하동군,35.021600,127.852020,http://cctvsec.ktict.co.kr/2514/sBO3t6r52kkhkTpxndgokPO/jtBoM6IP0mBJEXnaorCj7Q4f40ZMmZtTtC+U1yYItXPIyofPAHN1CqsWADxs9OXRFlaqGe+mkyGQ2DvrU78=,경상남도,하동군,고전면
전북특별자치도 완주군,35.879270,127.174190,http://cctvsec.ktict.co.kr/2615/kl5PJ6A7dVNFKVpMr2HFo6qRpqIKdJzYyfcX/W8bzvwvkD+LIezZXVCVhuXdcAXxs3OXFXh++SVgKuqmiHRQvAKPRQKdah+nAb7JKiqzeiI=,전북특별자치도,완주군,용진읍
전북특별자치도 완주군,35.754747,127.219863,http://cctvsec.ktict.co.kr/2616/6CeUm2ZA2XixGod+0INUv7eiePC2/QHz4EXAiYARpxp0m3AnoMAH5xFuehCIP6VxyYEHOl1NmRMry1T96b44GfoCwrwVzBUQeZFIEJgzYDg=,전북특별자치도,완주군,상관면
전북특별자치도 임실군,35.687383,127.271425,http://cctvsec.ktict.co.kr/2617/jeO6KEzcKoKol3SVUYl8FMLAG4AqLB0qbEQF4awSV4/MvFiAjIiNKdHeQ8h9qoY7c6VhzhghLh9YlKK5U+jEuTs4U+Y4qNXgEB/6WoXPiWI=,전북특별자치도,임실군,관촌면
전북특별자치도 임실군,35.629362,127.317710,http://cctvsec.ktict.co.kr/2618/anEtJW3SzjVfqVqQjxqXXjfJ0ROixMfFlzzGIkc7TMb+UGG2l73WTESEN+EJg2TXt58qG+iNJhjKMQ6SHnkKTv7Ofo7kANPiNwKSRu6rozw=,전북특별자치도,임실군,성수면
전북특별자치도 임실군,35.550278,127.318560,http://cctvsec.ktict.co.kr/2619/ykecwwLqbLXcr4qLeGq3Rhz+dlYg4nSKhpPEibMoZ6DPMi15fotdesh8V8UP/asGAxEPv+rVgpCc7PR9zcZBSbWj2wmoT/lqAQ17SbmOLh0=,전북특별자치도,임실군,오수면
전북특별자치도 남원시,35.436389,127.311889,http://cctvsec.ktict.co.kr/2620/jH45uULJRMxFGVjwDcU0EpFZwYF7NgHDL34SfoCBJvfn3j9Es4dVzNyHvIGrbs1BWztZ4QJbIqHnDaXsOKJg3XDZ8ha+2ic/piib49eBE1Y=,전북특별자치도,남원시,대산면
전북특별자치도 남원시,35.347521,127.347682,http://cctvsec.ktict.co.kr/2621/zj9e15oDsUlpTIbzxZAZ1Bwofn5hAqLfb9DALE+maSVpEhvuJoJittKG+FjVyXzVVdqeHYEWkHKWODpKXmtAsu1L5s7bLcY+FoNymzjgQGg=,전북특별자치도,남원시,송동면
전북특별자치도 남원시,35.338333,127.352250,http://cctvsec.ktict.co.kr/2622/e1/Qu8iRxtqu8FeKkyNtL7tWB1WQtJKLz2T4Kqd119QKlaF5uN3JyeJ/KT4ebsKewuX+QgcYEIO0MOGJGkdXb9e0G7W1bIj2oop1DTImjOw=,전북특별자치도,남원시,수지면
