name,latitude,longitude,cctvUrl,type,roadId,resolution,format,time
[남해선] [순천]장동1터널(순천외부),34.738651,126.969653,http://cctvsec.ktict.co.kr/8572/lz5/fsUOAIKGM3hMW7+Jw7/XjyKOgwNXb2tEubyftiyL5XdWcH/ugydL+8Pm2KhrpekIMHHY/+s7I9vL6Au2jxZRRzx1HcfQjDgkJlTatfw=,1,,,HLS,
[남해선] [영암]장동1터널(영암외부),34.754964,126.989481,http://cctvsec.ktict.co.kr/8573/SiSVEzDY/2LUlD08dcfiw+Di8fvF5HzimyuhxmolMHK2rBcjV1/EgAM5yCByAy0VeXmkFOd+AXnpvusTHTVHtC1SYikw5FGSsu0wlAst+Rg=,1,,,HLS,
[남해선] [영암]강진3터널(영암외부),34.684053,126.810326,http://cctvsec.ktict.co.kr/8574/WQ6wP53I7bdsiUvoyFy6rzp+pWUtMHZ8r68Bw60ONcrt+eCoS0L4EIaTS8MQ0iwlg4wdgLOnJoKsKmFJh5Ihj878TVm4YxUCbg/Voa7/2eY=,1,,,HLS,
[남해선] [영암]강진2터널(영암외부),34.685911,126.791568,http://cctvsec.ktict.co.kr/8575/uhM4nlIYgOS7T7+PX7MYG5YCe5sMjeRU6IhTfjxnoDWeQbpDlPDqAlTUNMjALFDGxCHmHWP76W5FCCWlPo9Vxw6NMCJpswES7cFCUtGWmcY=,1,,,HLS,
[남해선] 신덕2교,34.746420,126.536570,http://cctvsec.ktict.co.kr/8027/ltOUBmL4e398HQ2OjLHocUSQILTkUyXZ0Vr9sOgMwIIa5uk9w+T7sWRuVQhVZqTzNVn9ktgnQCe6GEXludQf18wa9fNpmG8lFYPBPPo02fs=,1,,,HLS,
[남해선] 독천교,34.737820,126.552120,http://cctvsec.ktict.co.kr/8028/xHOEuj3wehRPJYtl1QYBvgv789svmKAdNNX0R8pTnZhq++nujDJxpiEsonSdg5MWe6ZBaru2hdOJ7t6a61S0/jpFxHAgW6NHXm5HPOXS/vM=,1,,,HLS,
[남해선] 상월2교,34.720833,126.624861,http://cctvsec.ktict.co.kr/8029/fIFBhdEWqyZeX/5olGoThisUPTtEdcb1ru9tbpPwuJ60U0iONegboBdRXIj6crmALOVCqrhLL+6bNdfn0owJ98CWSSbuDkIn/Ytyh63UbI8=,1,,,HLS,
[남해선] 상월천교,34.711283,126.630482,http://cctvsec.ktict.co.kr/8030/qUNFIMzGsh1ygPXWPJHyYMPzFc9Xywb6TppmujHSluTCgBk4BX2E+4pZQAso2jNr6cBufuRRIdv/9CkVXw/k1JhJTvHhqVou+viVg5Ol8R4=,1,,,HLS,
[남해선] 월평1교,34.698467,126.680946,http://cctvsec.ktict.co.kr/8031/djB4srcmI9meDGSrq0c9aUARy0dLONFacPWZcSYQjPp1tjLx8VJ5/Tg5AAijrhhUD7IcunW/ymTLC+6OIjlLRlTiM4tmouEZCUt3IeksFP0=,1,,,HLS,
[남해선] 내안교,34.701658,126.893250,http://cctvsec.ktict.co.kr/8033/zH60/h1cDLBtaH4Dtq7rpT+Axk16WoQiLxVy03HLgTrIyKhve5upsXtYkHp5mPr9REKAyHc2AN0b10s03paeF8wn5/MQw+CYN0+DqHgrHQk=,1,,,HLS,
